thr,sensitivity,specificity,precision,npv,accuracy,f1,brier,tp,fp,tn,fn
0.01,0.9611650485436893,0.14133333333333334,0.23515439429928742,0.9298245614035088,0.3179916317991632,0.3778625954198473,0.14716036798888504,99,322,53,4
0.011,0.9611650485436893,0.15733333333333333,0.2385542168674699,0.9365079365079365,0.3305439330543933,0.38223938223938225,0.14716036798888504,99,316,59,4
0.011999999999999999,0.9611650485436893,0.15733333333333333,0.2385542168674699,0.9365079365079365,0.3305439330543933,0.38223938223938225,0.14716036798888504,99,316,59,4
0.012999999999999998,0.9611650485436893,0.15733333333333333,0.2385542168674699,0.9365079365079365,0.3305439330543933,0.38223938223938225,0.14716036798888504,99,316,59,4
0.013999999999999997,0.9611650485436893,0.15733333333333333,0.2385542168674699,0.9365079365079365,0.3305439330543933,0.38223938223938225,0.14716036798888504,99,316,59,4
0.014999999999999996,0.9611650485436893,0.15733333333333333,0.2385542168674699,0.9365079365079365,0.3305439330543933,0.38223938223938225,0.14716036798888504,99,316,59,4
0.015999999999999993,0.9611650485436893,0.2,0.24812030075187969,0.9493670886075949,0.36401673640167365,0.3944223107569721,0.14716036798888504,99,300,75,4
0.016999999999999994,0.9611650485436893,0.20533333333333334,0.24937027707808565,0.9506172839506173,0.3682008368200837,0.396,0.14716036798888504,99,298,77,4
0.017999999999999995,0.9611650485436893,0.20533333333333334,0.24937027707808565,0.9506172839506173,0.3682008368200837,0.396,0.14716036798888504,99,298,77,4
0.018999999999999993,0.9611650485436893,0.21066666666666667,0.25063291139240507,0.9518072289156626,0.3723849372384937,0.39759036144578314,0.14716036798888504,99,296,79,4
0.01999999999999999,0.9611650485436893,0.21866666666666668,0.25255102040816324,0.9534883720930233,0.3786610878661088,0.4,0.14716036798888504,99,293,82,4
0.02099999999999999,0.9611650485436893,0.22666666666666666,0.2544987146529563,0.9550561797752809,0.38493723849372385,0.402439024390244,0.14716036798888504,99,290,85,4
0.021999999999999992,0.9611650485436893,0.23466666666666666,0.25647668393782386,0.9565217391304348,0.3912133891213389,0.40490797546012275,0.14716036798888504,99,287,88,4
0.02299999999999999,0.9611650485436893,0.23466666666666666,0.25647668393782386,0.9565217391304348,0.3912133891213389,0.40490797546012275,0.14716036798888504,99,287,88,4
0.023999999999999987,0.9611650485436893,0.23466666666666666,0.25647668393782386,0.9565217391304348,0.3912133891213389,0.40490797546012275,0.14716036798888504,99,287,88,4
0.024999999999999988,0.9611650485436893,0.23466666666666666,0.25647668393782386,0.9565217391304348,0.3912133891213389,0.40490797546012275,0.14716036798888504,99,287,88,4
0.02599999999999999,0.9514563106796117,0.23466666666666666,0.2545454545454545,0.946236559139785,0.3891213389121339,0.4016393442622951,0.14716036798888504,98,287,88,5
0.02699999999999999,0.9514563106796117,0.23466666666666666,0.2545454545454545,0.946236559139785,0.3891213389121339,0.4016393442622951,0.14716036798888504,98,287,88,5
0.027999999999999983,0.9514563106796117,0.24,0.2558746736292428,0.9473684210526315,0.39330543933054396,0.40329218106995884,0.14716036798888504,98,285,90,5
0.028999999999999984,0.9514563106796117,0.24,0.2558746736292428,0.9473684210526315,0.39330543933054396,0.40329218106995884,0.14716036798888504,98,285,90,5
0.029999999999999985,0.9514563106796117,0.24,0.2558746736292428,0.9473684210526315,0.39330543933054396,0.40329218106995884,0.14716036798888504,98,285,90,5
0.030999999999999986,0.941747572815534,0.24,0.25392670157068065,0.9375,0.3912133891213389,0.4000000000000001,0.14716036798888504,97,285,90,6
0.03199999999999998,0.941747572815534,0.24533333333333332,0.25526315789473686,0.9387755102040817,0.39539748953974896,0.40165631469979296,0.14716036798888504,97,283,92,6
0.03299999999999998,0.941747572815534,0.248,0.2559366754617414,0.9393939393939394,0.39748953974895396,0.4024896265560166,0.14716036798888504,97,282,93,6
0.03399999999999998,0.941747572815534,0.248,0.2559366754617414,0.9393939393939394,0.39748953974895396,0.4024896265560166,0.14716036798888504,97,282,93,6
0.03499999999999998,0.941747572815534,0.248,0.2559366754617414,0.9393939393939394,0.39748953974895396,0.4024896265560166,0.14716036798888504,97,282,93,6
0.035999999999999976,0.941747572815534,0.256,0.2579787234042553,0.9411764705882353,0.40376569037656906,0.4050104384133612,0.14716036798888504,97,279,96,6
0.03699999999999998,0.941747572815534,0.25866666666666666,0.25866666666666666,0.941747572815534,0.40585774058577406,0.40585774058577406,0.14716036798888504,97,278,97,6
0.03799999999999998,0.941747572815534,0.25866666666666666,0.25866666666666666,0.941747572815534,0.40585774058577406,0.40585774058577406,0.14716036798888504,97,278,97,6
0.03899999999999998,0.941747572815534,0.25866666666666666,0.25866666666666666,0.941747572815534,0.40585774058577406,0.40585774058577406,0.14716036798888504,97,278,97,6
0.03999999999999997,0.941747572815534,0.26666666666666666,0.260752688172043,0.9433962264150944,0.4121338912133891,0.4084210526315789,0.14716036798888504,97,275,100,6
0.040999999999999974,0.941747572815534,0.26666666666666666,0.260752688172043,0.9433962264150944,0.4121338912133891,0.4084210526315789,0.14716036798888504,97,275,100,6
0.041999999999999975,0.941747572815534,0.2693333333333333,0.261455525606469,0.9439252336448598,0.41422594142259417,0.4092827004219409,0.14716036798888504,97,274,101,6
0.042999999999999976,0.941747572815534,0.272,0.26216216216216215,0.9444444444444444,0.41631799163179917,0.41014799154334036,0.14716036798888504,97,273,102,6
0.04399999999999998,0.941747572815534,0.27466666666666667,0.26287262872628725,0.944954128440367,0.41841004184100417,0.41101694915254233,0.14716036798888504,97,272,103,6
