thr,nb_model,nb_all,nb_none,snb_model,prevalence,tp,fp,N
0.01,0.20030852457630702,0.20755673893749207,0.0,0.9650783954388109,0.21548117154811716,99,322,478
0.02,0.19460336435829562,0.19947058321236444,0.0,0.9755993150684932,0.21548117154811716,99,293,478
0.03,0.18658068412198595,0.19121770262692492,0.0,0.9757500563952176,0.21548117154811716,98,285,478
0.04,0.17895746164574616,0.1827928870292887,0.0,0.9790176442536958,0.21548117154811716,97,275,478
0.05,0.17330984364677385,0.1741907068927549,0.0,0.9949431099873578,0.21548117154811716,97,269,478
0.060000000000000005,0.1662512240719309,0.16540550164693313,0.0,1.0051130247578042,0.21548117154811716,96,259,478
0.06999999999999999,0.15890583524542223,0.15643136725603995,0.0,1.0158182341098647,0.21548117154811716,95,253,478
0.08,0.1532654175004548,0.14726214298708387,0.0,1.0407659048795552,0.21548117154811716,95,250,478
0.09,0.14761598234401585,0.13789139730562328,0.0,1.0705235078359454,0.21548117154811716,94,237,478
0.09999999999999999,0.14388656438865643,0.12831241283124128,0.0,1.1213768115942029,0.21548117154811716,93,218,478
0.11,0.1373701283437544,0.11851817027878334,0.0,1.1590638635462116,0.21548117154811716,91,205,478
0.12,0.1323697223278813,0.10850133130467861,0.0,1.2199824715162133,0.21548117154811716,90,196,478
0.13,0.12470542971192228,0.09825422017024961,0.0,1.2692119432207536,0.21548117154811716,88,190,478
0.14,0.11511141383672277,0.08776880412571764,0.0,1.3115299334811528,0.21548117154811716,84,178,478
0.15000000000000002,0.10657149889244398,0.07703667240954959,0.0,1.3833865814696482,0.21548117154811716,79,159,478
0.16,0.09962143853357242,0.06604901374775851,0.0,1.5082956259426847,0.21548117154811716,76,149,478
0.17,0.09477239501940816,0.05479659222664718,0.0,1.729530818767249,0.21548117154811716,75,145,478
0.18000000000000002,0.08704969894887234,0.043269721400142874,0.0,2.0117924528301887,0.21548117154811716,73,143,478
0.19,0.08290717495738417,0.03145823647915702,0.0,2.6354679802955636,0.21548117154811716,72,138,478
