thr,nb_model,nb_all,nb_none,snb_model,prevalence,tp,fp,N
0.54,0.004366017827906125,-0.7054757140258323,0.0,4366017827.906125,0.21548117154811716,15,11,478
0.55,0.0032543003254300214,-0.7433751743375177,0.0,3254300325.4300213,0.21548117154811716,15,11,478
0.56,0.003233168505135029,-0.7829973373906429,0.0,3233168505.1350293,0.21548117154811716,13,9,478
0.5700000000000001,-0.004038143427070165,-0.8244623917485651,0.0,-4038143427.070165,0.21548117154811716,10,9,478
0.5800000000000001,-0.007172743574417224,-0.8679019725044833,0.0,-7172743574.417225,0.21548117154811716,9,9,478
0.59,-0.005255638330441875,-0.913460557199714,0.0,-5255638330.441875,0.21548117154811716,9,8,478
0.6,-0.008368200836820078,-0.9612970711297067,0.0,-8368200836.820078,0.21548117154811716,8,8,478
0.61,-0.011533097307155883,-1.0115867396202125,0.0,-11533097307.155884,0.21548117154811716,7,8,478
0.62,-0.012662409160977755,-1.0645232327681127,0.0,-12662409160.977755,0.21548117154811716,7,8,478
0.63,-0.01238267556259188,-1.1203211579780616,0.0,-12382675562.59188,0.21548117154811716,6,7,478
0.64,-0.0097629009762901,-1.179218967921897,0.0,-9762900976.2901,0.21548117154811716,6,6,478
0.65,-0.010759115361625824,-1.2414823670053798,0.0,-10759115361.625824,0.21548117154811716,6,6,478
0.66,-0.007752891951759785,-1.307408318976126,0.0,-7752891951.759786,0.21548117154811716,6,5,478
0.67,-0.006529732471155066,-1.3773297831875242,0.0,-6529732471.1550665,0.21548117154811716,5,4,478
0.68,-0.009414225941422596,-1.4516213389121342,0.0,-9414225941.422596,0.21548117154811716,4,4,478
0.6900000000000001,-0.01025779457416656,-1.5307058982318806,0.0,-10257794574.166561,0.21548117154811716,4,4,478
0.7000000000000001,-0.011157601115760115,-1.6150627615062767,0.0,-11157601115.760115,0.21548117154811716,4,4,478
0.7100000000000001,-0.012119463280911855,-1.7052373394892522,0.0,-12119463280.911856,0.21548117154811716,4,4,478
0.72,-0.00986252241482367,-1.801852958756724,0.0,-9862522414.823671,0.21548117154811716,3,3,478
0.73,-0.005036417170308381,-1.9056252905625288,0.0,-5036417170.308381,0.21548117154811716,3,2,478
0.74,-0.0056324428709365925,-2.0173801094303183,0.0,-5632442870.936593,0.21548117154811716,3,2,478
0.75,-0.006276150627615061,-2.1380753138075312,0.0,-6276150627.615061,0.21548117154811716,3,2,478
0.76,-0.00697350069735007,-2.2688284518828454,0.0,-6973500697.35007,0.21548117154811716,3,2,478
0.77,-0.007731489903583772,-2.4109514280516646,0.0,-7731489903.583773,0.21548117154811716,3,2,478
0.78,-0.010650437428680107,-2.565994674781286,0.0,-10650437428.680107,0.21548117154811716,2,2,478
0.79,0.0,-2.7358039450089664,0.0,0.0,0.21548117154811716,0,0,478
0.8,0.0,-2.922594142259415,0.0,0.0,0.21548117154811716,0,0,478
0.81,0.0,-3.1290464655362262,0.0,0.0,0.21548117154811716,0,0,478
0.8200000000000001,0.0,-3.358437935843795,0.0,0.0,0.21548117154811716,0,0,478
0.8300000000000001,0.0,-3.6148166379522535,0.0,0.0,0.21548117154811716,0,0,478
0.8400000000000001,0.0,-3.9032426778242706,0.0,0.0,0.21548117154811716,0,0,478
0.85,0.0,-4.230125523012552,0.0,0.0,0.21548117154811716,0,0,478
0.86,0.0,-4.603705917513448,0.0,0.0,0.21548117154811716,0,0,478
0.87,0.0,-5.034760218860636,0.0,0.0,0.21548117154811716,0,0,478
0.88,0.0,-5.53765690376569,0.0,0.0,0.21548117154811716,0,0,478
0.89,0.0,-6.131989349562572,0.0,0.0,0.21548117154811716,0,0,478
0.9,0.0,-6.845188284518829,0.0,0.0,0.21548117154811716,0,0,478
0.91,0.0,-7.716875871687589,0.0,0.0,0.21548117154811716,0,0,478
0.92,0.0,-8.806485355648542,0.0,0.0,0.21548117154811716,0,0,478
0.93,0.0,-10.207411835026905,0.0,0.0,0.21548117154811716,0,0,478
0.9400000000000001,0.0,-12.075313807531392,0.0,0.0,0.21548117154811716,0,0,478
0.9500000000000001,0.0,-14.69037656903768,0.0,0.0,0.21548117154811716,0,0,478
0.9600000000000001,0.0,-18.612970711297105,0.0,0.0,0.21548117154811716,0,0,478
0.97,0.0,-25.150627615062742,0.0,0.0,0.21548117154811716,0,0,478
0.98,0.0,-38.225941422594104,0.0,0.0,0.21548117154811716,0,0,478
0.99,0.0,-77.45188284518821,0.0,0.0,0.21548117154811716,0,0,478
