run,auc,brier,seconds
1,0.7789255663430421,0.14106708780806618,761.555469751358
2,0.7884530744336571,0.13924735324916168,1399.9122684001923
3,0.7887119741100324,0.13939148438748478,1799.8860895633698
4,0.7877281553398058,0.13959650916192345,2675.0661056041718
