iter	Passed	Remaining
466	1286	366
467	1288	363
468	1290	360
469	1293	357
470	1295	354
471	1298	352
472	1300	349
473	1302	346
474	1304	343
475	1307	340
476	1309	337
477	1311	334
478	1314	332
479	1316	329
480	1319	326
481	1321	323
482	1324	320
483	1326	317
484	1328	315
485	1331	312
486	1333	309
487	1335	306
488	1338	303
489	1340	300
490	1343	298
491	1345	295
492	1347	292
493	1349	289
494	1352	286
495	1354	284
496	1356	281
497	1359	278
498	1361	275
499	1363	272
500	1366	269
501	1368	267
502	1371	264
503	1373	261
504	1375	258
505	1378	256
506	1380	253
507	1383	250
508	1385	247
509	1388	244
510	1390	242
511	1392	239
512	1395	236
513	1397	233
514	1400	231
515	1402	228
516	1405	225
517	1407	222
518	1409	220
519	1412	217
520	1414	214
521	1416	211
522	1419	208
523	1421	206
524	1423	203
525	1426	200
526	1428	197
527	1431	195
528	1433	192
529	1435	189
530	1437	186
531	1440	184
532	1442	181
533	1444	178
534	1447	175
535	1449	173
536	1452	170
537	1454	167
538	1457	164
539	1459	162
540	1461	159
541	1464	156
542	1466	153
543	1469	151
544	1471	148
545	1473	145
546	1476	143
547	1478	140
548	1481	137
549	1483	134
550	1485	132
551	1488	129
552	1490	126
553	1492	123
554	1495	121
555	1497	118
556	1499	115
557	1502	113
558	1504	110
559	1507	107
560	1509	104
561	1511	102
562	1514	99
563	1516	96
564	1519	94
565	1521	91
566	1524	88
567	1526	86
568	1528	83
569	1530	80
570	1533	77
571	1535	75
572	1537	72
573	1540	69
574	1542	67
575	1544	64
576	1547	61
577	1549	58
578	1551	56
579	1554	53
580	1556	50
581	1559	48
582	1561	45
583	1563	42
584	1566	40
585	1568	37
586	1570	34
587	1573	32
588	1575	29
589	1578	26
590	1580	24
591	1582	21
592	1585	18
593	1587	16
594	1590	13
595	1592	10
596	1594	8
597	1597	5
598	1599	2
599	1601	0
