iter	Logloss
0	0.6652516432
1	0.640455353
2	0.616127867
3	0.5981383709
4	0.5796469105
5	0.5635840538
6	0.5489419072
7	0.5331239653
8	0.5193995436
9	0.5074127136
10	0.4999332897
11	0.4895787146
12	0.4762792144
13	0.4678181488
14	0.4584660906
15	0.4482694758
16	0.4420484468
17	0.4354817617
18	0.4301284172
19	0.4241053265
20	0.4177390126
21	0.4128007378
22	0.405638706
23	0.4022874216
24	0.3977223762
25	0.3930064891
26	0.3876520333
27	0.3830927547
28	0.3792707737
29	0.3750102048
30	0.3706181375
31	0.364581921
32	0.3592009433
33	0.3548719219
34	0.3510907
35	0.3466789591
36	0.3439771466
37	0.3407475988
38	0.3370077367
39	0.3337559621
40	0.3307421941
41	0.3285142921
42	0.326083646
43	0.3242124234
44	0.3215562358
45	0.3193528133
46	0.31735643
47	0.3158659758
48	0.3140046351
49	0.3112660883
50	0.3090708657
51	0.3070628884
52	0.3043689755
53	0.301824222
54	0.2982594106
55	0.2967482315
56	0.2946914154
57	0.2934687636
58	0.2927468145
59	0.2891569529
60	0.2871071653
61	0.2858861655
62	0.2833705471
63	0.2814341461
64	0.2799127245
65	0.2777827404
66	0.2769043029
67	0.2759566621
68	0.2743833682
69	0.2732532277
70	0.2720967155
71	0.2713061037
72	0.2699950554
73	0.269272776
74	0.2683685674
75	0.2673618155
76	0.2658026085
77	0.2637442005
78	0.2624995622
79	0.2611828371
80	0.2595674925
81	0.2585815556
82	0.2565866441
83	0.2539764419
84	0.2529483643
85	0.2516732393
86	0.2506776007
87	0.2496941568
88	0.2485683415
89	0.2474159142
90	0.2468421936
91	0.2457595703
92	0.2452654454
93	0.2443253137
94	0.2436396032
95	0.242642598
96	0.2416927796
97	0.2409395779
98	0.2405220152
99	0.2400013985
100	0.2391164732
101	0.2381102319
102	0.2370199794
103	0.2352621132
104	0.2336349945
105	0.2317965113
106	0.2295790318
107	0.2284271902
108	0.2270324162
109	0.2266599978
110	0.2252367195
111	0.2246273309
112	0.2226610889
113	0.2220417883
114	0.2208908929
115	0.2201028042
116	0.2190799829
117	0.2181100102
118	0.217416205
119	0.2163420219
120	0.2142320568
121	0.2130761453
122	0.2119593259
123	0.2115683152
124	0.2112914569
125	0.2107112334
126	0.2098310688
127	0.208654943
128	0.2080388263
129	0.2073892944
130	0.2058410506
131	0.2048884238
132	0.2038551199
133	0.2028770224
134	0.20097686
135	0.2002606778
136	0.1996932798
137	0.1992895187
138	0.1984580728
139	0.1979367803
140	0.1971172136
141	0.1964478879
142	0.1954675678
143	0.1949944382
144	0.1934057958
145	0.1930319657
146	0.1916174129
147	0.1907069869
148	0.1891411419
149	0.1884455796
150	0.1877832072
151	0.1858815579
152	0.1855148615
153	0.1851014889
154	0.1842026869
155	0.1839165024
156	0.18300076
157	0.1820988342
158	0.1817265511
159	0.1795911754
160	0.1783988
161	0.1777376141
162	0.1769705957
163	0.176842912
164	0.1765419347
165	0.1757811188
166	0.1747406663
167	0.1743136122
168	0.1724168589
169	0.1719269841
170	0.171399369
171	0.1712369034
172	0.1705954212
173	0.1692167615
174	0.1678316891
175	0.1671050244
176	0.1667141038
177	0.1661407586
178	0.1654311694
179	0.1647583594
180	0.1645232213
181	0.163924826
182	0.1633239677
183	0.1622215956
184	0.1616799536
185	0.1614041015
186	0.1598988094
187	0.1593770513
188	0.1592367224
189	0.1592118824
190	0.1588322705
191	0.1574225684
192	0.157322488
193	0.1569066073
194	0.1568485024
195	0.155480911
196	0.1542642514
197	0.1525652711
198	0.152129867
199	0.1506569539
200	0.1506257012
201	0.1498334976
202	0.1485679691
203	0.1476558761
204	0.1468506367
205	0.146070042
206	0.1451488181
207	0.144156138
208	0.1429314738
209	0.1426131806
210	0.1414370998
211	0.1400627804
212	0.1400324138
213	0.1387256908
214	0.1380823012
215	0.1371437464
216	0.1356787928
217	0.1348275531
218	0.1336691336
219	0.1333033082
220	0.1325716124
221	0.131380093
222	0.1311643583
223	0.1309018423
224	0.1308176659
225	0.1301142041
226	0.1297554222
227	0.1291939713
228	0.1286483945
229	0.1286322501
230	0.127946029
231	0.1275408562
232	0.1272592072
233	0.1272451653
234	0.1261646595
235	0.1251686305
236	0.1243132157
237	0.1238448169
238	0.1238311204
239	0.1229150776
240	0.1226523213
241	0.1217799812
242	0.1206955182
243	0.1206815889
244	0.1198316107
245	0.1189925206
246	0.1178967715
247	0.1175617782
248	0.1170265714
249	0.1163899851
250	0.1155620084
251	0.1148097978
252	0.1138763717
253	0.11364242
254	0.1130620989
255	0.1121297841
256	0.1114202624
257	0.1109936964
258	0.1098617838
259	0.1091761559
260	0.1088105558
261	0.1088004862
262	0.1086692132
263	0.1080364564
264	0.1080186525
265	0.1075812585
266	0.106775929
267	0.1062941565
268	0.1056391355
269	0.1050401619
270	0.1048182773
271	0.1044828485
272	0.1040933246
273	0.1033356475
274	0.1033245942
275	0.1027561299
276	0.10213948
277	0.1021188978
278	0.1014271951
279	0.1012767365
280	0.1006377097
281	0.1000452315
282	0.09955428294
283	0.09868928664
284	0.09792955205
285	0.09791712459
286	0.09761378943
287	0.09760666335
288	0.09742032654
289	0.0971438437
290	0.09711768221
291	0.09648007464
292	0.09607089206
293	0.09516907143
294	0.09483886893
295	0.09474477315
296	0.09417702218
297	0.09363303732
298	0.09343882352
299	0.09290290337
300	0.0925705683
301	0.09208046831
302	0.09177611192
303	0.09133646516
304	0.09132672594
305	0.09080181404
306	0.09021271487
307	0.08965399727
308	0.08912830444
309	0.08871532979
310	0.08860511211
311	0.08836502559
312	0.08794867938
313	0.08789387841
314	0.08723244466
315	0.0865503986
316	0.08600928219
317	0.08544666741
318	0.08543795692
319	0.08476197066
320	0.08416335002
321	0.08354021238
322	0.08309291391
323	0.08285708502
324	0.08231635908
325	0.08188892953
326	0.0816092929
327	0.08154895777
328	0.08099295093
329	0.08020996086
330	0.07994742231
331	0.07956387558
332	0.07914722151
333	0.07873522304
334	0.07812642015
335	0.07770220447
336	0.07703337432
337	0.0766233357
338	0.07634033502
339	0.07580648737
340	0.07533945514
341	0.07503018784
342	0.07454330923
343	0.07397919263
344	0.07351650063
345	0.07322527004
346	0.07279401089
347	0.07227354434
348	0.07224997346
349	0.07192438902
350	0.07165274951
351	0.07141927846
352	0.07128411574
353	0.07091854566
354	0.07038782928
355	0.0702069215
356	0.06992814089
357	0.06944874879
358	0.06910521023
359	0.06884873148
360	0.06853204525
361	0.06837641289
362	0.06821419511
363	0.06803358018
364	0.0677004867
365	0.06738455888
366	0.06721558296
367	0.06697051044
368	0.06674620792
369	0.06674423304
370	0.06674148473
371	0.06630575019
372	0.06629399103
373	0.06577006282
374	0.06576549732
375	0.06547344825
376	0.06520914507
377	0.06495612048
378	0.06436322173
379	0.06436156224
380	0.06403099179
381	0.06388151685
382	0.06371667841
383	0.06362601427
384	0.06361779938
385	0.06344650317
386	0.06318305603
387	0.06290884843
388	0.06261860152
389	0.0623319552
390	0.06196084345
391	0.06195326308
392	0.06157920778
393	0.06154962968
394	0.06131314749
395	0.06119958829
396	0.06084012681
397	0.06076313663
398	0.06054402661
399	0.06018277047
400	0.06017715371
401	0.05994187673
402	0.05980296701
403	0.05970865347
404	0.05947789318
405	0.05947504725
406	0.05915088952
407	0.05907329862
408	0.05862791496
409	0.05829092428
410	0.05804458273
411	0.05778205169
412	0.05773835659
413	0.05748705907
414	0.05724166366
415	0.05699434593
416	0.05672081791
417	0.05646140687
418	0.05635968567
419	0.05610816663
420	0.05604846226
421	0.05574276175
422	0.0555927837
423	0.05536435121
424	0.05508338173
425	0.05464691505
426	0.05447299068
427	0.05425138015
428	0.05406366542
429	0.05363255644
430	0.05326557466
431	0.05303650766
432	0.05242931546
433	0.05210012667
434	0.0516714281
435	0.05140405373
436	0.05116365183
437	0.05093123954
438	0.05077750698
439	0.05077500271
440	0.05075029046
441	0.05074783876
442	0.05060594044
443	0.05053422912
444	0.05024947132
445	0.04982155368
446	0.04960976122
447	0.04959307614
448	0.0492492222
449	0.04910822872
450	0.04884772512
451	0.04879776372
452	0.04870949872
453	0.04842430164
454	0.04813323625
455	0.04784497924
456	0.04776556364
457	0.04756933742
458	0.04746260393
459	0.04736042843
460	0.04720889601
461	0.04694285825
462	0.04674482986
463	0.04652757082
464	0.0463003623
465	0.04615531769
466	0.04603621682
467	0.04586389938
468	0.04586382429
469	0.04564895688
470	0.04555843916
471	0.04532512579
472	0.04528273726
473	0.04504849278
474	0.04504832758
475	0.04492931306
476	0.04480226386
477	0.04456818082
478	0.04425585734
479	0.04404523253
480	0.04385358682
481	0.04347542409
482	0.04330417293
483	0.04326512592
484	0.04311866586
485	0.04300965338
486	0.04300850074
487	0.04292839431
488	0.04281521431
489	0.04275111715
490	0.04265582368
491	0.04251762732
492	0.04251749216
493	0.042208972
494	0.04216423315
495	0.04214193881
496	0.0421146059
497	0.04202542855
498	0.04202334104
499	0.04202126103
500	0.04201502102
501	0.04200789494
502	0.04183397808
503	0.04181628678
504	0.04178748586
505	0.04175658241
506	0.04147792946
507	0.04133243807
508	0.04119904749
509	0.04103269598
510	0.04084994848
511	0.04078515298
512	0.0407580491
513	0.04066122004
514	0.04043580994
515	0.04023231121
516	0.03994911154
517	0.03987877437
518	0.03987560555
519	0.03977950486
520	0.03965483228
521	0.03955435758
522	0.03950548499
523	0.03944793947
524	0.03927495748
525	0.0391531571
526	0.0389623036
527	0.03895540655
528	0.03884467825
529	0.03866716456
530	0.03866717957
531	0.03848667353
532	0.03848547959
533	0.03840647699
534	0.03825433258
535	0.03806875418
536	0.037840791
537	0.03777736965
538	0.03759733292
539	0.03756626802
540	0.03747279926
541	0.03730663923
542	0.03723047129
543	0.03704503555
544	0.03685754986
545	0.03680470499
546	0.03659520654
547	0.03647287302
548	0.03639709555
549	0.03639450493
550	0.03638965785
551	0.03626564606
552	0.03618978599
553	0.03610629298
554	0.03602595752
555	0.03587780417
556	0.03570018159
557	0.03556656574
558	0.03547228224
559	0.03532814623
560	0.03512759856
561	0.03508510115
562	0.03496327449
563	0.03483715642
564	0.03482465762
565	0.0346138939
566	0.03457862769
567	0.03436231104
568	0.03436235985
569	0.03424803096
570	0.03420589774
571	0.03407692999
572	0.03407696003
573	0.03395845236
574	0.03395832846
575	0.03394102013
576	0.03392862646
577	0.03382179535
578	0.03370790951
579	0.03355267513
580	0.03344030986
581	0.03331926039
582	0.03331888119
583	0.03330446008
584	0.03327740501
585	0.03310086749
586	0.03295586042
587	0.03272319283
588	0.03272038445
589	0.03259814104
590	0.03252866741
591	0.03232658789
592	0.03231192649
593	0.03212954319
594	0.03203609694
595	0.03203221477
596	0.03196729537
597	0.03184300575
598	0.03183877065
599	0.03175095243
