feature,mean_abs_shap
pt,0.06698655492670542
bun,0.06500463169301496
platelets,0.04541594837187028
heart_rate,0.04389382150656341
sbp,0.042267186474058936
bicarbonate,0.030088124265426276
spo2,0.02613250973017722
hemoglobin,0.02003851416345915
