fold,n_train,n_test,prevalence_test,auc,ap,brier,thr_youden,acc@0.5,f1@0.5,prec@0.5,recall@0.5,acc@Y,f1@Y,prec@Y,recall@Y
1,1272,319,0.21630094043887146,0.7765797101449275,0.5075919553961445,0.39314838597422574,0.76,0.28213166144200624,0.3760217983651226,0.23154362416107382,1.0,0.677115987460815,0.4975609756097561,0.375,0.7391304347826086
2,1273,318,0.2169811320754717,0.7313311215878004,0.4006668967356596,0.23667552434359007,0.72,0.6037735849056604,0.46153846153846156,0.32727272727272727,0.782608695652174,0.7610062893081762,0.4411764705882353,0.44776119402985076,0.43478260869565216
3,1273,318,0.2138364779874214,0.772235294117647,0.4638563418624019,0.22277089173861156,0.6900000000000001,0.6635220125786163,0.5069124423963134,0.3691275167785235,0.8088235294117647,0.7610062893081762,0.4647887323943662,0.44594594594594594,0.4852941176470588
4,1273,318,0.2138364779874214,0.7710588235294118,0.4789010655973239,0.22101452597309515,0.7000000000000001,0.6666666666666666,0.5137614678899083,0.37333333333333335,0.8235294117647058,0.7547169811320755,0.43478260869565216,0.42857142857142855,0.4411764705882353
5,1273,318,0.2138364779874214,0.7202352941176471,0.4094721419428409,0.2145497767027464,0.7100000000000001,0.6635220125786163,0.44559585492227977,0.344,0.6323529411764706,0.7578616352201258,0.3937007874015748,0.423728813559322,0.36764705882352944
