feature,mean_abs_shap
pt,0.0765969112746709
bun,0.0752722216075466
platelets,0.0543798366130578
heart_rate,0.0500207505809549
sbp,0.0454873414432543
bicarbonate,0.0373530761058498
spo2,0.0352402472153442
hemoglobin,0.0250608173081025
